,Source,Target,Type,Weight
0,233,129,Undirected,1
1,111,71,Undirected,3
2,144,129,Undirected,95
3,144,104,Undirected,55
4,104,129,Undirected,70
5,164,6,Undirected,24
6,164,144,Undirected,16
7,144,6,Undirected,2
8,79,104,Undirected,4
9,79,199,Undirected,3
10,79,136,Undirected,7
11,79,71,Undirected,5
12,104,199,Undirected,104
13,104,136,Undirected,41
14,104,71,Undirected,2
15,199,136,Undirected,33
16,199,71,Undirected,2
17,136,71,Undirected,14
18,146,129,Undirected,24
19,167,129,Undirected,10
20,167,104,Undirected,8
21,167,146,Undirected,1
22,112,129,Undirected,36
23,112,104,Undirected,23
24,71,144,Undirected,23
25,112,144,Undirected,18
26,144,136,Undirected,32
27,136,129,Undirected,53
28,44,129,Undirected,10
29,199,129,Undirected,67
30,198,220,Undirected,42
31,121,220,Undirected,1
32,121,122,Undirected,1
33,122,105,Undirected,2
34,95,139,Undirected,4
35,220,215,Undirected,2
36,122,95,Undirected,7
37,222,55,Undirected,3
38,164,220,Undirected,34
39,34,46,Undirected,1
40,122,220,Undirected,11
41,60,136,Undirected,1
42,199,112,Undirected,48
43,144,35,Undirected,2
44,104,35,Undirected,3
45,35,112,Undirected,2
46,231,144,Undirected,21
47,231,129,Undirected,18
48,231,104,Undirected,3
49,21,44,Undirected,1
50,144,152,Undirected,1
51,144,199,Undirected,76
52,152,199,Undirected,1
53,104,146,Undirected,1
54,104,86,Undirected,3
55,104,67,Undirected,7
56,104,25,Undirected,1
57,164,199,Undirected,38
58,136,111,Undirected,1
59,199,44,Undirected,18
60,224,199,Undirected,1
61,67,112,Undirected,3
62,220,189,Undirected,9
63,220,207,Undirected,1
64,198,189,Undirected,1
65,198,207,Undirected,1
66,189,207,Undirected,1
67,177,220,Undirected,75
68,177,115,Undirected,1
69,177,113,Undirected,2
70,177,207,Undirected,2
71,113,207,Undirected,1
72,193,122,Undirected,1
73,223,122,Undirected,1
74,237,95,Undirected,1
75,122,54,Undirected,1
76,95,215,Undirected,2
77,215,122,Undirected,1
78,55,225,Undirected,20
79,55,168,Undirected,6
80,225,168,Undirected,5
81,225,222,Undirected,1
82,168,222,Undirected,2
83,34,164,Undirected,1
84,46,80,Undirected,3
85,150,220,Undirected,1
86,144,14,Undirected,9
87,71,14,Undirected,8
88,71,129,Undirected,17
89,14,129,Undirected,11
90,144,225,Undirected,24
91,144,171,Undirected,18
92,144,220,Undirected,5
93,171,220,Undirected,1
94,171,225,Undirected,17
95,220,225,Undirected,6
96,225,231,Undirected,6
97,225,71,Undirected,8
98,231,71,Undirected,5
99,71,171,Undirected,6
100,14,225,Undirected,1
101,14,231,Undirected,4
102,14,171,Undirected,3
103,225,129,Undirected,24
104,231,171,Undirected,9
105,129,171,Undirected,25
106,144,222,Undirected,10
107,231,222,Undirected,1
108,144,146,Undirected,1
109,144,88,Undirected,2
110,88,14,Undirected,1
111,112,225,Undirected,5
112,144,55,Undirected,1
113,88,136,Undirected,1
114,88,225,Undirected,4
115,136,225,Undirected,11
116,164,225,Undirected,4
117,79,111,Undirected,1
118,220,129,Undirected,7
119,225,199,Undirected,23
120,129,164,Undirected,17
121,14,25,Undirected,1
122,171,25,Undirected,3
123,71,25,Undirected,1
124,14,220,Undirected,3
125,220,71,Undirected,4
126,72,236,Undirected,1
127,88,220,Undirected,1
128,88,112,Undirected,3
129,225,167,Undirected,4
130,167,220,Undirected,2
131,71,35,Undirected,1
132,136,171,Undirected,1
133,164,71,Undirected,1
134,189,177,Undirected,7
135,177,137,Undirected,1
136,177,182,Undirected,4
137,177,43,Undirected,7
138,220,43,Undirected,1
139,189,43,Undirected,3
140,182,43,Undirected,2
141,121,183,Undirected,3
142,183,185,Undirected,1
143,55,96,Undirected,1
144,46,220,Undirected,57
145,199,146,Undirected,9
146,5,146,Undirected,1
147,5,129,Undirected,1
148,146,112,Undirected,15
149,146,44,Undirected,4
150,44,112,Undirected,2
151,146,231,Undirected,1
152,146,132,Undirected,1
153,146,197,Undirected,1
154,197,129,Undirected,1
155,151,112,Undirected,4
156,25,231,Undirected,1
157,25,144,Undirected,2
158,30,189,Undirected,1
159,61,198,Undirected,1
160,220,149,Undirected,1
161,177,198,Undirected,10
162,66,190,Undirected,1
163,190,95,Undirected,1
164,95,1,Undirected,2
165,46,188,Undirected,1
166,188,220,Undirected,3
167,46,164,Undirected,15
168,164,190,Undirected,1
169,190,220,Undirected,1
170,199,88,Undirected,42
171,199,6,Undirected,15
172,6,88,Undirected,1
173,199,90,Undirected,164
174,136,90,Undirected,20
175,199,67,Undirected,20
176,67,144,Undirected,3
177,90,104,Undirected,44
178,202,104,Undirected,13
179,210,220,Undirected,1
180,182,220,Undirected,1
181,39,191,Undirected,1
182,39,27,Undirected,1
183,39,177,Undirected,2
184,191,27,Undirected,1
185,191,177,Undirected,1
186,27,177,Undirected,1
187,190,11,Undirected,2
188,89,36,Undirected,23
189,89,159,Undirected,4
190,159,36,Undirected,4
191,235,109,Undirected,1
192,235,159,Undirected,1
193,109,159,Undirected,1
194,109,208,Undirected,1
195,87,46,Undirected,1
196,99,46,Undirected,1
197,80,173,Undirected,1
198,104,14,Undirected,1
199,104,44,Undirected,3
200,14,44,Undirected,2
201,199,171,Undirected,19
202,199,231,Undirected,5
203,171,67,Undirected,3
204,129,67,Undirected,4
205,67,231,Undirected,2
206,171,44,Undirected,2
207,67,44,Undirected,2
208,231,44,Undirected,2
209,199,14,Undirected,2
210,136,14,Undirected,3
211,171,112,Undirected,9
212,171,146,Undirected,4
213,227,136,Undirected,2
214,129,33,Undirected,1
215,199,33,Undirected,1
216,144,33,Undirected,1
217,129,151,Undirected,5
218,231,112,Undirected,2
219,129,175,Undirected,1
220,112,14,Undirected,1
221,44,35,Undirected,4
222,35,129,Undirected,5
223,164,44,Undirected,3
224,177,45,Undirected,3
225,201,220,Undirected,1
226,22,113,Undirected,1
227,45,220,Undirected,1
228,177,147,Undirected,1
229,122,46,Undirected,19
230,1,139,Undirected,1
231,121,215,Undirected,2
232,121,95,Undirected,1
233,139,122,Undirected,1
234,215,139,Undirected,1
235,100,95,Undirected,1
236,118,36,Undirected,1
237,183,220,Undirected,2
238,78,164,Undirected,2
239,78,129,Undirected,1
240,194,88,Undirected,2
241,231,164,Undirected,1
242,231,88,Undirected,2
243,225,146,Undirected,1
244,112,220,Undirected,2
245,164,146,Undirected,8
246,199,151,Undirected,2
247,199,220,Undirected,3
248,151,220,Undirected,2
249,146,67,Undirected,1
250,146,88,Undirected,5
251,67,88,Undirected,1
252,164,151,Undirected,1
253,164,179,Undirected,14
254,151,179,Undirected,1
255,129,179,Undirected,13
256,164,88,Undirected,2
257,179,88,Undirected,3
258,15,136,Undirected,1
259,15,144,Undirected,1
260,15,221,Undirected,1
261,136,221,Undirected,1
262,144,221,Undirected,1
263,129,88,Undirected,6
264,146,179,Undirected,1
265,71,44,Undirected,1
266,218,144,Undirected,6
267,144,179,Undirected,10
268,198,178,Undirected,2
269,198,91,Undirected,5
270,178,220,Undirected,1
271,178,91,Undirected,1
272,220,91,Undirected,6
273,189,47,Undirected,1
274,220,166,Undirected,1
275,36,35,Undirected,6
276,35,165,Undirected,1
277,62,35,Undirected,1
278,48,46,Undirected,8
279,124,46,Undirected,19
280,151,46,Undirected,1
281,151,183,Undirected,1
282,46,183,Undirected,5
283,199,202,Undirected,1
284,202,220,Undirected,3
285,220,104,Undirected,7
286,199,179,Undirected,45
287,136,25,Undirected,3
288,179,104,Undirected,43
289,179,220,Undirected,1
290,179,112,Undirected,2
291,179,44,Undirected,6
292,104,164,Undirected,9
293,179,201,Undirected,2
294,201,44,Undirected,1
295,179,202,Undirected,1
296,202,112,Undirected,1
297,199,106,Undirected,1
298,39,91,Undirected,2
299,39,156,Undirected,1
300,156,91,Undirected,2
301,156,198,Undirected,1
302,185,121,Undirected,5
303,190,185,Undirected,4
304,117,164,Undirected,1
305,104,171,Undirected,7
306,225,104,Undirected,41
307,112,136,Undirected,3
308,31,104,Undirected,1
309,31,202,Undirected,1
310,202,164,Undirected,2
311,202,136,Undirected,2
312,199,108,Undirected,1
313,220,172,Undirected,1
314,11,185,Undirected,7
315,55,127,Undirected,2
316,99,124,Undirected,2
317,75,164,Undirected,1
318,201,37,Undirected,2
319,201,199,Undirected,1
320,199,37,Undirected,1
321,35,142,Undirected,1
322,35,37,Undirected,1
323,142,37,Undirected,1
324,151,104,Undirected,1
325,151,225,Undirected,1
326,104,88,Undirected,4
327,104,127,Undirected,1
328,198,77,Undirected,1
329,77,220,Undirected,1
330,11,121,Undirected,4
331,11,92,Undirected,1
332,56,185,Undirected,2
333,214,164,Undirected,1
334,214,124,Undirected,2
335,122,164,Undirected,1
336,164,124,Undirected,2
337,104,128,Undirected,1
338,136,128,Undirected,1
339,16,136,Undirected,1
340,136,200,Undirected,1
341,136,2,Undirected,1
342,200,2,Undirected,1
343,91,89,Undirected,1
344,56,125,Undirected,1
345,185,204,Undirected,1
346,185,97,Undirected,1
347,204,97,Undirected,1
348,190,121,Undirected,1
349,36,147,Undirected,1
350,36,138,Undirected,1
351,147,138,Undirected,1
352,114,220,Undirected,2
353,114,46,Undirected,2
354,122,48,Undirected,2
355,164,95,Undirected,1
356,136,179,Undirected,3
357,104,26,Undirected,3
358,26,144,Undirected,5
359,104,24,Undirected,1
360,167,26,Undirected,1
361,167,144,Undirected,3
362,136,35,Undirected,11
363,136,86,Undirected,3
364,90,144,Undirected,46
365,86,35,Undirected,1
366,86,144,Undirected,1
367,35,164,Undirected,1
368,107,218,Undirected,1
369,107,221,Undirected,1
370,107,10,Undirected,1
371,218,221,Undirected,1
372,218,10,Undirected,1
373,221,10,Undirected,1
374,163,144,Undirected,1
375,104,141,Undirected,1
376,141,144,Undirected,1
377,221,179,Undirected,1
378,89,144,Undirected,4
379,89,179,Undirected,5
380,12,50,Undirected,1
381,7,190,Undirected,1
382,119,1,Undirected,1
383,135,199,Undirected,2
384,135,167,Undirected,4
385,199,167,Undirected,15
386,135,90,Undirected,2
387,167,90,Undirected,7
388,90,129,Undirected,19
389,136,130,Undirected,1
390,90,130,Undirected,1
391,136,157,Undirected,8
392,157,129,Undirected,3
393,35,199,Undirected,5
394,112,90,Undirected,39
395,112,25,Undirected,1
396,199,25,Undirected,11
397,151,144,Undirected,1
398,151,90,Undirected,1
